phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
I La Mg Sn      ,59,9.888,29.233,6.292,12.022,29.542
Ca Cl La Mg     ,59,9.97,29.359,6.919,12.417,29.164
I Mg Sn Sr      ,59,9.971,29.053,5.555,11.543,29.505
Ca Cl Mg Sr     ,59,10.052,29.18,6.256,11.954,29.127
I Mg Sr Zr      ,59,10.081,29.295,6.044,12.432,29.338
Ca I Mg Sr      ,59,10.251,29.029,6.017,12.609,29.502
Cl Mg Sr Y      ,59,10.268,29.282,6.758,12.313,28.833
La Li Mg S      ,59,10.337,29.277,6.753,11.194,28.781
I Mg P Ta       ,59,10.401,29.257,6.184,12.513,29.743
Ba Br Mg Si     ,59,10.442,29.246,5.914,12.22,29.013
F Li Mg Si      ,59,10.457,29.331,7.627,11.589,29.659
Ba Br Mg P      ,59,10.6,29.106,6.101,12.303,29.506
Cl La Mg Sr     ,59,10.629,29.099,7.11,11.911,29.708
Ba Br Mg Sn     ,59,10.682,29.367,5.985,10.955,29.635
La Mg S Ta      ,59,10.921,29.345,7.531,11.719,28.657
Ba I Mg Zr      ,59,10.929,29.35,6.368,12.355,28.618
Ba Br Ca Mg     ,59,10.943,29.344,6.417,12.074,29.632
Mg S Sr Ta      ,59,10.996,29.166,6.928,11.227,28.619
Ba Ca I Mg      ,59,11.085,29.085,6.343,12.533,28.786
Ba Cl Mg Y      ,59,11.102,29.337,7.049,12.235,28.1
Ba Cl Li Mg     ,59,11.425,29.372,6.38,10.422,29.453
Ba Cl La Mg     ,59,11.436,29.155,7.387,11.83,28.998
Ba Cl Mg Sr     ,59,11.508,28.975,6.771,11.344,28.96
Br K Mg P       ,59,11.575,29.196,5.018,11.586,29.726
Ba I La Mg      ,59,11.611,29.004,7.186,12.492,29.374
Ba I Mg Sr      ,59,11.682,28.823,6.55,12.032,29.337
Ba I Mg Ta      ,59,12.123,29.29,6.992,11.694,29.705
B I K Mg        ,59,12.272,29.103,7.663,11.764,29.612
F K Mg Si       ,59,12.275,29.08,7.436,11.632,28.673
Cl K La Mg      ,59,12.346,29.245,6.521,11.082,29.221
F K Mg P        ,59,12.411,28.939,7.586,11.719,29.171
Cl K Mg Sr      ,59,12.412,29.065,5.814,10.561,29.184
F K Mg Sn       ,59,12.481,29.202,7.493,10.294,29.302
I K La Mg       ,59,12.508,29.094,6.292,11.786,29.595
I K Mg Sr       ,59,12.574,28.914,5.555,11.297,29.558
Ba Br K Mg      ,59,13.145,29.229,5.986,10.696,29.688
Ca I Mg P       ,60,9.17,29.052,5.439,13.301,28.825
Mg S Y Zr       ,61,9.175,29.585,6.596,12.765,26.582
B Br Mg Zn      ,62,9.19,29.697,8.27,11.859,29.716
Al B Br Mg      ,62,9.226,29.605,8.019,11.795,29.426
B Cl Mg Sn      ,62,9.376,29.391,7.852,11.31,29.185
Cl La Mg Zn     ,62,9.455,29.582,7.159,11.678,28.471
Al Br La Mg     ,62,9.537,29.597,6.721,11.817,29.409
