element,Pettifor,Number,AtomicVolume,AtomicWeight,BCCbandgap,BCCefflatcnt,BCCenergydiff,BCCenergy_pa,BCCfermi,BCCmagmom,BCCvolume_padiff,BCCvolume_pa,Column,CovalentRadius,Electronegativity,FirstIonizationEnergy,GSbandgap,GSefflatcnt,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,ICSDVolume,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,NUnfilled,NValance,Polarizability,Row
Cr,55.0,24.0,12.0929374738936,51.9961,0.0,5.63280069969244,0.000908960000000292,-9.50480758,7.97704267,0.0,-0.0199999999999996,11.17,6.0,139.0,1.66,6.76651,0.0,5.6361605577511,-9.50571654,2.818080279,3.550558664,0.0,11.19,12.01,49.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,11.6,4.0
Mn,72.0,25.0,12.2127044655985,54.938045,0.0,5.51959949485148,0.15015449034,-8.87041076,7.57494268,0.8185729,0.0224137931000001,10.51,7.0,139.0,1.55,7.43402,0.0,5.51567297372692,-9.02056525034,2.757836487,3.474656242,0.000310120689655,10.4875862069,12.2,52.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,9.4,4.0
Fe,71.0,26.0,11.7773649695423,55.845,0.0,5.55784675864371,0.0,-8.28548436,6.45149343,2.1106628,0.0,10.73,8.0,132.0,1.83,7.9024,0.0,5.55784675864371,-8.28548436,2.778923379,3.501224062,2.1106628,10.73,11.78,55.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,8.4,4.0
Co,70.0,27.0,10.9958606831132,58.933195,0.0,5.5073180822224,0.100302575,-6.98008657,6.14041474,1.6840372,0.195,10.44,9.0,126.0,1.88,7.88101,0.0,5.47281349692051,-7.080389145,2.736406748,3.447656463,1.5484712,10.245,11.12,58.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,7.5,4.0
Ni,69.0,28.0,10.9412844417051,58.6934,0.0,5.48790731596398,0.107185530000001,-5.43913904,5.09579251,0.0645672,0.00999999999999979,10.33,10.0,124.0,1.91,7.6398,0.0,5.4861358802967,-5.54632457,2.74306794,3.456049039,0.5953947,10.32,10.86,61.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,6.8,4.0
Cu,68.0,29.0,11.8299419318999,63.546,0.0,5.61763150408129,0.0377675399999999,-3.64288728,4.3787397,0.0,0.00999999999999979,11.08,11.0,132.0,1.9,7.72638,0.0,5.61594097388469,-3.68065482,2.807970487,3.537821124,0.0,11.07,11.81,64.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,6.15,4.0
Zn,74.0,30.0,15.2056837348025,65.38,0.0,6.09622627827544,0.0829084150000001,-1.1570915,3.91507328,0.0,0.199999999999999,14.16,12.0,122.0,1.65,9.394199,0.0,6.06738844744543,-1.239999915,3.033694224,3.822215211,0.0,13.96,15.19,69.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,-5.8166666667,4.0
Ga,79.0,31.0,19.6105134830824,69.723,0.0,6.5965087136422,0.0338645424999999,-2.97839076,3.94985673,0.0,-0.9175,17.94,13.0,122.0,1.81,5.999301,0.0,6.7070987358881,-3.0122553025,3.353549368,4.225207441,0.0,18.8575,19.6,74.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,13.0,8.12,4.0
Ge,84.0,32.0,22.6609763823586,72.64,0.0,6.70264987630741,0.337674655,-4.27836489,4.38004256,0.0,-4.185,18.82,14.0,120.0,2.01,7.89943,0.383,7.16661498670743,-4.616039545,3.583307493,4.514684539,0.0,23.005,22.23,79.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,14.0,5.84,4.0
As,90.0,33.0,21.723965737178,74.9216,0.0,6.72513024719756,0.435925125,-4.21496399,6.47464548,0.0,-3.165,19.01,15.0,119.0,2.18,9.7886,0.0,7.07936879261063,-4.650889115,3.539684396,4.459722881,0.0,22.175,21.52,84.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,15.0,4.31,4.0
Se,95.0,34.0,27.2088046258276,78.96,0.0,6.85922886270818,0.5700508,-2.90074111,5.61176057,0.0,-5.75,20.17,16.0,120.0,2.55,9.75239,0.799,7.45735801428926,-3.47079191,3.728679007,4.697841169,0.0,25.92,29.81,89.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,16.0,3.77,4.0
Br,100.0,35.0,42.5278253242385,79.904,0.0,7.42267212675669,0.5843935475,-0.99863179,2.00721501,0.0,-3.92,25.56,17.0,120.0,2.96,11.8138,1.457,7.78423288755642,-1.5830253375,3.892116444,4.903759436,0.0,29.48,65.14,95.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,17.0,3.05,4.0
Kr,4.0,36.0,37107.4947415034,83.798,0.0,9.70328297844739,-1.06781967,-0.98028443,1.049049325,0.0,21.04,57.1,18.0,116.0,3.0,13.99961,7.535,8.32495513507371,0.08753524,4.162477568,5.244393107,0.0,36.06,44.81,101.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,18.0,2.4844,4.0
Rb,9.0,37.0,92.6409518449757,85.4678,0.0,11.2352630081626,0.00139795500000006,-0.96193707,0.09088364,0.0,-2.0825,88.64,1.0,220.0,0.82,4.177128,0.0,11.3225695574035,-0.963335025,5.661284779,7.132771862,0.0,90.7225,93.09,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,47.27,5.0
Sr,15.0,38.0,55.3231307765064,87.62,0.0,9.45988625983837,0.00487368999999993,-1.67793991,1.71056951,0.0,-1.32,52.91,2.0,195.0,0.95,5.69485,0.0,9.53790946403164,-1.6828136,4.768954732,6.008506453,0.0,54.23,56.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,25.55,5.0
Y,21.0,39.0,33.0132128825196,88.90585,0.0,8.04392504902196,0.124302255,-6.34029752,3.23208944,0.0,0.164999999999999,32.53,3.0,190.0,1.22,6.2173,0.0,8.03030174726957,-6.464599775,4.015150874,5.058773104,0.0,32.365,32.97,12.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,22.7,5.0
Zr,49.0,40.0,23.2659432691915,91.224,0.0,7.14003698192156,0.0786836849999997,-8.46727487,4.22805065,0.0,-0.445,22.75,4.0,175.0,1.33,6.6339,0.0,7.18629078586301,-8.545958555,3.593145393,4.527079516,0.0,23.195,23.29,44.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,17.9,5.0
Nb,53.0,41.0,18.0021329803168,92.90638,0.0,6.62579437490161,0.0,-10.09332153,4.90182207,0.0,0.0,18.18,5.0,164.0,1.6,6.75885,0.0,6.62579437490161,-10.09332153,3.312897187,4.173988903,0.0,18.18,18.15,47.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,15.7,5.0
