phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Ce F Li Se      ,0.152,0.651,24,54.6,14.5,0.097,True
F Gd Li Se      ,0.143,0.741,24,54.6,15.75,0.131,True
Gd Li N S       ,0.173,0.476,24,28.8,17.5,0.168,True
Cl Cs Li O      ,0.637,0.328,24,32.5,20.0,0.182,True
Al Li Se Te     ,0.176,0.436,24,12.5,3.25,0.183,False
Cl Ga Li Te     ,0.16,0.589,24,24.0,2.5,0.192,True
Li O Sr Te      ,0.26,0.407,24,64.3,18.5,0.193,True
Br Cl Li Mg     ,0.171,0.554,24,9.0,4.5,0.217,True
Ca Cl Li N      ,0.299,0.383,24,26.5,19.75,0.217,True
Br Li O Zr      ,0.322,0.376,24,44.4,9.5,0.226,True
Ca Li S Se      ,0.228,0.421,24,8.2,18.25,0.261,True
Br Li O Y       ,0.56,0.338,24,44.4,16.5,0.304,True
Li S Te Ti      ,0.363,0.348,24,21.8,9.75,0.309,False
F Li Mo S       ,0.211,0.43,24,42.9,8.0,0.314,True
Br F Li Sn      ,0.155,0.629,24,52.9,2.25,0.321,True
I In Li S       ,0.309,0.381,24,21.2,1.25,0.337,False
Br Cl Ga Li     ,0.154,0.646,24,9.0,3.0,0.425,True
Ce Cl Li N      ,0.179,0.449,25,26.5,16.0,0.008,True
