phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
K Li Si N O,15,4.8,181.5,3.0,14.6,16.8,False
Li Al Sb S Br,15,7.1,23.0,0.0,5.8,2.6,False
Li In Te N O,15,64.3,,,6.2,2.2,True
Li Si P Br O,15,44.4,1.9,1.0,5.2,1.4,False
Li Ca Sb S O,15,34.9,37.3,1.0,12.2,15.2,False
K Li P Cl O,15,32.5,176.4,4.0,13.1,16.2,True
Li Zr N Cl O,15,32.5,,,9.0,8.2,True
Li Al S I O,15,63.5,,,5.7,3.6,True
Li B Se S O,15,46.0,,,5.5,2.8,True
Li Si B N O,15,4.8,31.7,1.0,6.9,2.4,False
Li Ge Te P O,15,64.3,40.0,1.0,5.8,1.6,False
Li Ca In S O,15,34.9,21.3,1.0,13.2,15.0,False
Li Ge P Se O,15,46.0,40.0,1.0,5.6,1.4,False
Li Zn B S O,15,34.9,114.6,1.0,6.4,2.6,True
Sr Li Al Cl O,15,32.5,95.6,1.0,13.8,15.8,False
Li Al Si S N,15,28.8,25.0,1.0,7.8,3.4,False
K Li Ca S O,15,34.9,33.3,1.0,26.8,29.0,False
Li Mg Ge Se S,15,8.2,11.7,2.0,7.1,3.2,False
Li Al P S F,15,42.9,22.7,2.0,6.2,2.6,False
Li In P Se S,15,8.2,70.9,2.0,6.2,2.4,False
Li Mg In S O,15,34.9,9.3,1.0,7.5,3.6,False
Li In Te P S,15,21.8,70.9,2.0,6.4,2.6,False
Li Si S N Cl,15,28.8,,,5.3,1.2,True
Li Mg Sb Cl O,15,32.5,3.6,1.0,6.6,4.0,False
Li V S Cl O,16,34.9,,,8.5,8.8,True
Li Al W Cl O,16,32.5,13.6,3.0,9.6,7.4,False
Li B Te P Cl,16,24.0,34.1,2.0,5.9,2.0,True
K Li Al Te O,16,64.3,125.2,2.0,14.8,17.0,False
Li Ca Te O F,16,73.9,,,12.5,16.2,False
Li Ti B Cl O,16,32.5,107.7,1.0,8.8,7.4,False
Li Ca Te S O,16,64.3,,,12.2,15.8,True
K Li Ti Cl O,16,32.5,78.5,3.0,19.9,22.2,False
Li B P Se Cl,16,10.2,34.1,2.0,5.7,1.8,True
Li B P S O,16,34.9,34.1,2.0,5.5,1.6,True
Li Ca Se S Cl,16,10.2,,,12.2,16.0,False
Li B Te P S,16,21.8,34.1,2.0,6.1,2.2,False
Li Y Al S O,16,34.9,54.1,0.0,13.1,14.4,False
Li Ca Sb O F,16,5.9,37.3,1.0,12.5,15.6,False
Li Ca Te O F,16,73.9,,,12.5,16.2,False
Li Ga Te S O,16,64.3,,,5.9,3.2,True
Li Ca Te S Cl,16,24.0,,,12.2,15.8,False
Li Al In Se O,16,46.0,39.3,0.0,7.2,2.8,False
Li B P Se S,16,8.2,34.1,2.0,5.9,2.0,True
Li B Te S O,16,64.3,,,5.5,2.6,True
Li Ca Ti O F,16,5.9,33.9,2.0,19.3,21.2,False
Li Si Br O F,16,52.9,,,6.2,4.0,True
Li Ca Se S O,16,46.0,,,12.2,16.0,False
Li Ga Sb S O,16,34.9,9.2,0.0,5.9,2.6,True
Li In Se N O,16,46.0,,,6.0,2.0,True
Li Mg Se S Cl,16,10.2,,,6.5,4.6,False
Li Al Zn Br O,16,44.4,30.4,1.0,7.7,3.8,False
Li Al Sb Br O,16,44.4,23.0,0.0,5.9,2.8,True
Li Mg Se Cl O,16,46.0,,,6.6,4.8,True
Li Al S N Cl,17,28.8,,,6.0,2.2,True
Li Ca Al Te O,17,64.3,68.9,1.0,14.0,15.8,False
Li P N O F,17,10.9,,,6.2,2.4,True
Ba Li Y Cl O,17,32.5,43.3,1.0,25.3,27.4,False
Li Mg Ge Te S,17,21.8,11.7,2.0,7.3,3.4,False
Li Al V S O,17,34.9,15.2,2.0,9.8,7.8,False
Li Ga Se S O,17,46.0,,,5.9,3.4,True
Ba Li Te O F,17,73.9,,,12.7,16.6,True
Li Sb S O F,17,42.9,,,6.8,4.4,True
Li Mg Sn S Cl,17,1.8,3.6,2.0,6.9,3.0,False
Li Sb P S I,17,21.2,50.9,2.0,5.7,2.2,False
Li Zr S Cl O,17,34.9,,,9.0,9.8,True
Li Ca Al Se O,17,46.0,68.9,1.0,13.8,15.6,False
Li Al Si I O,17,63.5,25.0,1.0,5.7,1.4,True
Li In Te P O,17,64.3,70.9,2.0,6.2,2.4,False
Li Mg Sn Cl O,17,32.5,3.6,2.0,7.0,3.2,False
Li Al V S Cl,17,1.8,15.2,2.0,9.8,7.8,False
Li In Te Cl O,17,64.3,,,5.9,3.2,True
Li Al Sn S F,17,42.9,23.0,1.0,6.6,2.2,True
Ba Li Zn S O,17,34.9,69.3,0.0,14.6,16.6,True
Li Ca P S Cl,17,1.8,107.3,3.0,12.2,14.8,False
Li In S O F,17,42.9,,,6.1,3.8,True
Li In Sb Cl O,17,32.5,13.3,0.0,5.9,2.6,True
Li Ca Ti N O,17,4.8,33.9,2.0,20.6,22.4,False
K Li Zn Cl O,17,32.5,72.7,1.0,15.3,17.6,True
Li Ca Mg S O,18,34.9,32.6,0.0,14.6,16.4,False
Ba Li Te N O,18,64.3,,,12.8,15.4,True
Li Si Sn S Cl,18,1.8,53.7,0.0,5.5,0.6,False
Li Mg P Se Cl,18,10.2,56.4,3.0,6.7,3.6,False
Ba Li P S O,18,34.9,170.9,3.0,12.4,15.2,True
Li Zn N O F,18,10.9,,,6.7,3.4,True
Li Ca Sn S O,18,34.9,37.3,2.0,12.6,14.4,False
Li Si Se S Cl,18,10.2,,,5.3,2.6,False
Li In Sn N O,18,4.8,13.3,1.0,7.8,3.2,False
Li Si Ge S Cl,18,1.8,42.6,0.0,5.4,0.4,False
Li Ti Br Cl O,18,44.4,,,9.4,10.2,True
Li Si S I O,18,63.5,,,5.0,2.6,True
Li Zr Al S Cl,18,1.8,27.4,1.0,10.3,8.8,False
Li Si Ge Te S,18,21.8,42.6,0.0,6.0,1.0,False
Li Ge S Cl O,18,34.9,,,5.5,2.8,True
Li Ti P Cl O,18,32.5,54.8,1.0,8.8,8.0,False
Li Ti In Cl O,18,32.5,10.4,1.0,9.8,8.2,False
Li Si Br N O,18,44.4,,,5.2,1.2,False
Li Ca Zr Cl O,18,32.5,32.6,2.0,19.5,21.4,False
Li Sn B S O,18,34.9,102.4,1.0,5.5,0.8,True
Ba Li Mg S O,18,34.9,73.3,0.0,14.8,16.8,False
Li P Br O F,18,52.9,,,7.0,4.8,True
Li Y Cl O F,18,40.3,,,12.8,16.6,True
Li Ca Se O F,18,54.6,,,12.5,16.4,False
Li Al Te Br O,18,64.3,,,5.9,3.4,True
Li Mg Te P Cl,18,24.0,56.4,3.0,6.9,3.8,False
Li In P Se O,18,46.0,70.9,2.0,6.0,2.2,True
Li Zn Si Cl O,18,32.5,63.0,2.0,6.5,2.6,True
Li Al Si S Br,18,7.1,25.0,1.0,5.8,1.4,False
Li Ga Sn S O,18,34.9,9.2,1.0,6.3,1.8,False
Li Ti In Cl O,18,32.5,10.4,1.0,9.8,8.2,False
Ba Li Se O F,19,54.6,,,12.7,16.8,True
Li Al Se Br O,19,46.0,,,5.9,3.6,True
Ba Li Zr Cl O,19,32.5,73.3,2.0,19.7,21.8,False
Li Ca Ti S O,19,34.9,33.9,2.0,19.0,20.8,False
Li Al Si Te Cl,19,24.0,25.0,1.0,6.4,2.0,False
Li Al Si Te O,19,64.3,25.0,1.0,6.4,2.0,False
Li P S O F,19,42.9,,,6.4,4.0,True
Li Ca Sn S Cl,19,1.8,37.3,2.0,12.6,14.4,False
Li Si P S I,19,21.2,1.9,1.0,4.9,1.0,False
Li In Se Cl O,19,46.0,,,5.9,3.4,True
Li Zn B O F,19,5.9,114.6,1.0,6.7,3.0,True
Li V Cl O F,19,40.3,,,9.5,10.0,True
Li Y N Cl O,19,32.5,,,11.8,13.8,True
K Li Te Cl O,19,64.3,,,13.1,17.2,True
Li Sb S N Cl,19,28.8,,,5.9,2.4,True
Li Al Sb S N,19,28.8,23.0,0.0,7.2,3.4,False
Li Al Ga S O,19,34.9,12.6,0.0,7.2,2.8,False
Li P Se Cl F,19,54.6,,,7.0,4.6,True
Li Zn S N Cl,19,28.8,,,6.4,3.0,True
Li Mg S Br O,19,44.4,,,6.4,4.8,True
Li Ca Sb N O,19,4.8,37.3,1.0,13.2,15.6,False
Li Si Ge Cl O,19,32.5,42.6,0.0,5.5,0.6,True
K Li Sb Cl O,19,32.5,83.1,2.0,13.1,16.6,True
Li Ca Te N O,19,64.3,,,12.6,15.0,True
Li Ca Sn O F,19,5.9,37.3,2.0,12.9,14.8,False
Li Si Ge Se S,19,8.2,42.6,0.0,5.8,0.8,False
Li Al Zn S N,19,28.8,30.4,1.0,9.6,5.6,False
Li Zn P Cl F,19,40.3,60.0,3.0,7.3,4.4,True
K Li Al Se O,19,46.0,125.2,2.0,14.6,16.8,False
Li V P S Cl,19,1.8,41.4,0.0,8.4,7.2,False
Li Mg Si Br O,20,44.4,59.3,2.0,6.4,2.6,False
Li Ti Al Br O,20,44.4,26.2,1.0,10.0,8.4,False
Li P S N Cl,20,28.8,,,5.9,2.0,True
Ba Li Sb N O,20,4.8,79.5,1.0,13.4,16.0,True
Ba Li Sb S O,20,34.9,79.5,1.0,12.4,15.6,True
Li Al P Se F,20,54.6,22.7,2.0,6.4,2.8,False
Li Al Ge S O,20,34.9,14.1,1.0,6.2,1.8,False
Ba Li Te S O,20,64.3,,,12.4,16.2,True
Li Ge Sb S Cl,20,1.8,7.8,1.0,5.4,1.6,False
Li Al Si N Cl,20,26.5,25.0,1.0,7.6,3.2,False
Ba Li Si S Cl,20,1.8,175.9,2.0,12.4,14.4,False
Li P Se Br O,20,46.0,,,6.0,3.4,True
Li Si B S F,20,42.9,31.7,1.0,5.5,1.0,False
Li Mg Si S Br,20,7.1,59.3,2.0,6.3,2.4,False
Ba Li Ti S O,20,34.9,75.0,2.0,19.2,21.2,False
Li Al V N O,20,4.8,15.2,2.0,11.4,9.4,True
Li Si I Cl O,20,63.5,,,5.8,3.6,True
Ba Li Sn O F,20,5.9,79.5,2.0,13.1,15.2,False
Li B P N O,20,4.8,34.1,2.0,6.9,2.8,True
Li Ca Se N O,20,46.0,,,12.4,14.8,True
Sr Li Al O F,20,5.9,95.6,1.0,14.0,16.0,False
Li Zn P Br O,20,44.4,60.0,3.0,6.3,3.2,True
K Li S O F,20,42.9,,,13.3,17.8,True
Ba Li Ca S O,20,34.9,30.7,0.0,26.2,28.2,False
Li Zn Br O F,20,52.9,,,7.3,5.8,True
Li Al Te P F,20,73.9,22.7,2.0,6.6,3.0,False
Li Ge P Cl O,20,32.5,40.0,1.0,5.5,1.4,True
Li B Te O F,21,73.9,,,5.8,3.0,True
Ba Li Y O F,21,5.9,43.3,1.0,25.5,27.6,False
Ba Li Se S O,21,46.0,,,12.4,16.4,True
Li Mg Ti Cl O,21,32.5,1.0,2.0,11.2,9.6,False
Ba Li Y N O,21,4.8,43.3,1.0,26.8,28.8,True
Li Al Sn Br O,21,44.4,23.0,1.0,6.3,2.0,True
Li Al Mo S O,21,34.9,14.8,3.0,9.6,7.4,False
Li Al W N O,21,4.8,13.6,3.0,11.1,8.8,True
Li Ti Al S F,21,42.9,26.2,1.0,10.3,8.6,False
Li Si Te Cl O,21,64.3,,,5.4,2.6,True
