vectors,scores,scaled
O S Cu Te Eu,11.497,0.247
O S Cu Te Gd,12.546,0.339
O S Cu Te Tb,10.986,0.202
O S Cu Te Dy,10.906,0.195
O S Cu Te Ho,10.911,0.196
O S Cu Te Er,10.933,0.198
O S Cu Te Tm,11.025,0.206
O S Cu Te Yb,11.349,0.234
O S Cu Te Lu,11.94,0.286
O F S Ce Bi,16.114,0.652
Li N O Sr Ta,14.305,0.493
N O Na Sr Ta,14.328,0.495
Li N O Ba Ta,14.976,0.552
N O Na Ba Ta,14.998,0.554
O Si Cl Sr Eu,11.846,0.278
O F Ti Se Cs,15.361,0.586
O F Na Mn Ni,11.451,0.243
O F S Sm Bi,13.231,0.399
O S La Er Yb,13.254,0.401
O F Mn As Nd,12.457,0.331
O Si Cl Ca Fe,13.405,0.415
B O Na K Br,13.736,0.444
B O Cl Ba Pb,13.388,0.413
B O Br Ba Pb,13.766,0.446
Li B O F P,11.057,0.209
N O Sr Mo W,14.558,0.516
O F Si Ca La,11.696,0.265
