Phase fields     scores        Norm. score
F I Sb Te        8.885941736440458 0.18677048768874635
F O P Zn         8.889574577375136 0.1870808087173089
Br Mn S Sb       8.889696935476932 0.18709126067286733
As Hg I Sn       8.896009561876122 0.18763049174638524
Cd F O P          8.89688367456992 0.18770515935641732
As Br O Pb         8.8995544424283 0.18793329910813406
Cl Ga N Se       8.900436873858155 0.18800867731320073
Cu I S Te        8.900654886098975 0.18802730014420957
Cl N S S         8.901057770207993 0.18806171492133625
As Ca Cl O       8.901134648119639 0.18806828191203173
As Br F O        8.902399692298852 0.18817634329372399
Bi Br O Se         8.9064049333414 0.18851847512451705
Bi Br In Se      8.907841660160733 0.18864120181482835
Cl O Pb Si       8.912237735311274 0.18901671909920215
F Ge Mg O         8.91270972685939 0.1890570371052246
Cl Cu O Sb        8.91326093275626 0.1891041216828164
Br Cd Hg S       8.913422960332097 0.1891179622458609
Cd F O Sb        8.916135409277521 0.18934966243912618
Al F Ge O        8.920017010221473 0.18968123280486904
Bi Cl O Te        8.92124939160811 0.18978650409704978
Cl F I Sb        8.922691167638808 0.18990966209621565
O S S Tl         8.922771718139755 0.18991654280328615
Br O Pb Se       8.924141118722561 0.19003351841686558
Ho O S Si        8.925060375536951 0.19011204228435194
As Br Hg O        8.92555123989584 0.19015397242538343
As Br Hg In      8.926984885270803 0.19027643589553023
Cl N S Sb         8.93610494983054 0.19105548123927651
Ag Br Te Te      8.936526493857336 0.19109148996587097
Ag Cl O Si       8.937279896804476 0.1911558464245439
Cl O Pb Te       8.938956123479675 0.1912990314401574
B Mg O S          8.94040358013144 0.19142267468384774
Cl O S Ti        8.940853058913378 0.1914610696261079
As I O Pb        8.949473156046084 0.1921974072353304
Ag Br In Se      8.950579836850856 0.19229194105384947
Br C Se Se       8.950912023071231 0.19232031674423486
Hg I S Zn         8.95600951399143 0.19275574968883277
Cl O P Ti         8.95662124627043 0.19280800449256288
Bi I In Se       8.957714191664033 0.1929013650180591
B Cl O Zn        8.961547692777712 0.19322882664656957
N P S Zn         8.962093867480414 0.19327548145435416
Ag Cl O Te        8.96392364317177 0.1934317827856784
Ag Cl In Te      8.965351152434637 0.19355372210278596
Cd N P S         8.969343869071166 0.19389478408586833
I O Pb Se         8.97392306652552 0.19428594386676076
Ag As I O        8.974411416572593 0.1943276592326769
Br Cu In Se      8.977938461821193 0.19462894308435405
O S Si Yb        8.988149697446318 0.19550119738864602
N O S Se         8.990077875799669 0.1956659043770941
Dy O S Si        8.990342406697438 0.1956885008798754
Cl Cu O Te        8.99124166558886 0.1957653165041061
Cl Cu In Te      8.992664838348437 0.19588688539261934
O Se Si Tb        8.99408332583045 0.19600805405987923
Ag I O Se        8.998793569531301 0.19641040794663314
Ag I In Se       9.000215548134676 0.19653187482908854
F Ga O Te        9.007375561846525 0.1971434906029508
Ca O P S         9.007714138179097 0.19717241214332612
Bi Cd Cl O        9.01006310310396 0.1973730631557562
Cl Mn O P        9.010857332768726 0.19744090707485906
F Mg O P         9.017861215470388 0.19803918597640946
Cl O Te V        9.022593963635805 0.1984434622177936
Al F O P         9.025083361879354 0.19865610918949717
Ca O S Sb        9.026729502588147 0.1987967242307542
Cu I In Se       9.027423747741782 0.19885602736954466
Cd Cl O Pb       9.027595637385529 0.19887071036062606
Ca Cl Ge O       9.051480176081336 0.20091095234977255
Cr S Se Zn       9.052689191962026 0.20101422773627783
F O S Sn         9.053922685838712 0.20111959405850946
Cl O Se Tb       9.056762508115973 0.2013621746134687
Cd Cr S Se       9.059866696501691 0.20162733759473528
F O P Sn         9.069494292914412 0.2024497368340906
Bi Pb S Se       9.070081146788672 0.2024998664987663
N P Te Zn        9.074165249154218 0.20284873474530332
Ca O S Si        9.077504977675781 0.20313401780849494
Ag Br S Sn       9.084816526546465 0.20375857787229368
Br Hg S Sn        9.08571937053713 0.20383569973940852
F Mg O Si        9.087574127679073 0.2039941350120699
B Cl Mg O        9.088818503232428 0.20410043085837223
Mg N P S         9.089357030302013 0.20414643239742936
Ag Bi S Se       9.094688697940704 0.2046018689594309
Al F O Si        9.094740915135988 0.2046063294062386
Cl Ho O Te        9.09997051878968 0.20505304755711998
Br Hg P Sn       9.101236575774516 0.20516119545371592
Cl N P Zn        9.110155437675202 0.2059230538583067
Cd Cl O V         9.11041976240856 0.20594563275031044
Dy O P Zn        9.113065670072066 0.20617164891847814
Cl Ga N S        9.114925230884284 0.2063304945256207
Cl Ga N P          9.1303928005685 0.20765175031965913
Cl O Si Yb       9.135788996730241 0.20811269897481524
Ga O S Tl         9.13613089168853 0.20814190399563035
Cl Dy O Si       9.137946279046254 0.20829697626062052
