phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Ca Li N Se      ,33,39.4,20.25,True
Li Nb Se Te     ,33,12.5,9.5,False
I Li N Ti       ,33,56.1,10.5,True
Br Li S Y       ,33,7.1,16.25,True
Br Li N Ti      ,33,37.9,10.75,True
Li N Se Y       ,33,39.4,19.0,True
I Li Sb Te      ,33,0.5,2.0,False
Cl K Li Te      ,33,24.0,19.75,True
Br Li N W       ,33,37.9,9.25,True
Cl Li Se Y      ,34,10.2,16.75,True
I Li O Sr       ,34,63.5,17.75,True
F Ga Li Se      ,34,54.6,2.5,True
Ga Li N Se      ,34,39.4,4.5,True
F Li Mg Se      ,34,54.6,4.0,True
Br F Li W       ,34,52.9,8.75,True
Br Li Se Zn     ,34,1.1,3.25,True
Br I Li Sb      ,34,13.2,2.5,False
I Li N Sb       ,34,56.1,2.0,True
Cs Li O Te      ,34,64.3,20.25,True
Cl F Li Nb      ,34,40.3,10.0,True
Li N Se Zr      ,34,39.4,12.0,True
Br Li Nb Se     ,34,1.1,8.5,True
Br F Li Mo      ,34,52.9,9.0,True
Li Mg N Te      ,34,56.8,6.25,False
Br Li Mo N      ,34,37.9,9.5,True
Cl Li Te Y      ,35,24.0,17.0,True
F I Li P        ,35,73.1,2.5,True
Cl F K Li       ,35,40.3,20.75,True
Cl Li N Sr      ,35,26.5,20.0,True
Li S Se Ta      ,35,8.2,9.25,True
Li N Te V       ,35,56.8,11.0,True
F Li Mo N       ,35,10.9,10.0,True
Ga I Li O       ,35,63.5,1.75,True
B Li N Se       ,35,39.4,3.25,True
F Li Se V       ,35,54.6,8.75,True
Li N Te Zr      ,35,56.8,12.25,True
Br Li Nb Te     ,35,13.7,8.75,True
Br Li Mg N      ,35,37.9,5.25,True
Li N Te Y       ,35,56.8,19.25,True
F Ga Li Te      ,35,73.9,2.75,True
F Ge Li N       ,35,10.9,3.0,True
F Li Mg Te      ,35,73.9,4.25,True
I K Li S        ,35,21.2,18.75,True
F Gd Li N       ,35,10.9,17.5,True
Br Ga Li N      ,36,37.9,3.75,True
