Phase fields,     scores,     Norm. scores,
Cl O Te V       ,  8.724,    0.191,
Cl Er O Se      ,  8.724,    0.191,
In Mo S Se      ,  8.725,    0.191,
Ag I In Te      ,  8.727,    0.191,
Cl Dy O Se      ,  8.727,    0.191,
Bi Cl In S      ,   8.73,    0.191,
Bi Cl Cu Se     ,  8.733,    0.191,
Cl Ho O Se      ,  8.734,    0.191,
Bi O S S        ,  8.738,    0.192,
F I S Sb        ,  8.744,    0.192,
As Br Hg O      ,  8.751,    0.193,
Bi Br Cd S      ,  8.752,    0.193,
Dy S Te Te      ,  8.752,    0.193,
Cl Ga N S       ,  8.753,    0.193,
As Cu Mn P      ,  8.756,    0.193,
La S S Se       ,  8.757,    0.193,
Bi Cd I Se      ,  8.758,    0.193,
Ho S Te Te      ,  8.759,    0.193,
Pb S Sn Te      ,   8.76,    0.193,
Mg N P S        ,  8.766,    0.194,
Cl Ga N P       ,  8.766,    0.194,
Br Mn S Sb      ,  8.776,    0.195,
Cl O Te Zr      ,  8.777,    0.195,
Al Bi Cl Te     ,  8.779,    0.195,
Cl O Se Tm      ,  8.779,    0.195,
B Cl Mg O       ,  8.779,    0.195,
O Se Si Tb      ,  8.781,    0.195,
I Mn Sb Se      ,  8.782,    0.195,
O Pb S Sb       ,  8.783,    0.195,
N P Te Zn       ,  8.786,    0.195,
Cl O Pb S       ,  8.787,    0.196,
Bi Br In Se     ,  8.792,    0.196,
Cl O P Pb       ,    8.8,    0.197,
Ag I O Te       ,  8.801,    0.197,
Ag Au S Se      ,  8.804,    0.197,
F Mg O P        ,  8.807,    0.197,
Cl O Se Tb      ,  8.807,    0.197,
Au Cl O Se      ,  8.809,    0.197,
Br O S Ti       ,  8.809,    0.197,
Cl F I Sb       ,   8.81,    0.197,
Ca O P S        ,  8.821,    0.198,
Mo Ni S Se      ,  8.823,    0.198,
Cl O Pb Si      ,  8.826,    0.198,
Se Te Ti Ti     ,  8.828,    0.199,
Bi In S Te      ,  8.828,    0.199,
F Mg O Si       ,  8.833,    0.199,
As Br O Pb      ,  8.839,    0.199,
Al F O P        ,  8.846,      0.2,
Ca O S Si       ,  8.847,      0.2,
Br O Pb Se      ,  8.848,      0.2,
As As Re S      ,  8.848,      0.2,
Cl O Pb Sb      ,  8.848,      0.2,
As Cu Er P      ,   8.85,      0.2,
Cl Li P S       ,  8.851,      0.2,
Cu I In Te      ,  8.853,      0.2,
Cl Hg I S       ,  8.855,    0.201,
Al Cl N S       ,  8.858,    0.201,
As Cu Ho P      ,  8.859,    0.201,
Ag Mo S Se      ,   8.86,    0.201,
Cl Mo O Se      ,  8.865,    0.201,
Bi Br O Se      ,  8.865,    0.201,
Ag Bi Cl S      ,  8.865,    0.201,
Ca O S Sb       ,  8.869,    0.202,
Ge N O Si       ,   8.87,    0.202,
Al Cl N P       ,  8.871,    0.202,
Al F O Si       ,  8.872,    0.202,
Ca Cl O S       ,  8.874,    0.202,
Cr Cu S Se      ,  8.885,    0.203,
Cl Cu Hg S      ,  8.886,    0.203,
Ca Cl O P       ,  8.887,    0.203,
As Br Li S      ,  8.889,    0.203,
F Ga O Te       ,  8.891,    0.203,
As Hg I Sn      ,  8.892,    0.203,
Br Hg S Sn      ,  8.894,    0.204,
As I Li Se      ,  8.896,    0.204,
F O S Sn        ,  8.896,    0.204,
Cu Nb S Se      ,  8.898,    0.204,
O Se Se Sm      ,  8.901,    0.204,
Cl Mn O P       ,  8.902,    0.204,
F I Sb Te       ,  8.907,    0.205,
Br Hg P Sn      ,  8.907,    0.205,
Cd Cl O Pb      ,  8.909,    0.205,
F O P Sn        ,  8.909,    0.205,
Hg I S Zn       ,  8.912,    0.205,
Ca Cl O Si      ,  8.913,    0.205,
Br Cl Cr S      ,  8.913,    0.205,
Al Br N Se      ,  8.918,    0.205,
Bi Ni S Te      ,  8.925,    0.206,
Ag Cl Mo Se     ,  8.926,    0.206,
Ag Bi Br Se     ,  8.926,    0.206,
Bi Cd Cl O      ,  8.926,    0.206,
As Cl Hg Ti     ,   8.93,    0.206,
Ca O S Zn       ,   8.93,    0.206,
Cl Re Se Se     ,  8.932,    0.206,
I Pb S Sb       ,  8.937,    0.207,
As Br Cu Hg     ,  8.937,    0.207,
Br Cu Hg Se     ,  8.946,    0.208,
Cl O Pb Te      ,  8.949,    0.208,
Cd Ge N O       ,  8.953,    0.208,
Ge N O Zn       ,  8.953,    0.208,
B Br O Zn       ,  8.954,    0.208,
Er O S Si       ,  8.955,    0.208,
Dy O S Si       ,  8.958,    0.208,
Ho O S Si       ,  8.965,    0.209,
Bi Cl O Te      ,  8.966,    0.209,
O S S Tl        ,  8.968,    0.209,
Br F O Sb       ,  8.972,    0.209,
N O S S         ,  8.979,     0.21,
Cu Mo S Se      ,  8.984,     0.21,
Bi Cl Cu S      ,  8.989,    0.211,
Cl F P Rh       ,  8.991,    0.211,
La O Se Se      ,  8.991,    0.211,
