Phase fields,scores,Norm. scores
B Cu I O        , 26.704,    0.292
F O S Se        , 26.241,    0.254
F O Rb V        , 30.877,    0.641
Br N S V        , 28.355,     0.43
As C F S        , 26.579,    0.282
Cl Na O Y       , 26.772,    0.298
C F Mn O        , 26.162,    0.247
Cl Ga N S       , 27.589,    0.366
C Cl N P        , 26.195,     0.25
Ga O S Tl       , 28.644,    0.454
Ba Cl Mn O      , 26.372,    0.264
Bi I O Pb       , 27.435,    0.353
Br Cl Cr Cs     , 29.975,    0.565
Cl O S Sn       , 25.264,    0.172
C Cl O Pd       , 26.837,    0.303
O S Se Zr       , 26.064,    0.239
B Cr I O        , 27.782,    0.382
C F Ge S        ,  28.04,    0.404
C F Ge Se       , 29.221,    0.502
Cl La O Ta      , 28.389,    0.433
F Gd Ge O       , 29.696,    0.542
Ba N O Ta       , 27.441,    0.354
Ba N Nb O       , 27.178,    0.332
N O Sr Ta       , 28.285,    0.424
Cl F O S        , 25.626,    0.202
F La O Sb       , 27.883,    0.391
Cl Nd O Ta      ,  30.62,    0.619
Br F S Sb       , 28.627,    0.453
F O P           , 26.217,    0.252
As Br F Se      , 29.429,     0.52
As Br F S       , 28.256,    0.422
F K Np O        , 32.091,    0.742
Br Hg O         , 30.007,    0.568
Ba Bi I O       , 27.645,    0.371
Au C Cl S       , 27.203,    0.334
C Cl Cu O       , 24.085,    0.074
Ba Cl O W       , 27.127,    0.328
Cl F O Ru       , 28.652,    0.455
Cl O S Ti       , 24.761,     0.13
Ca F O Si       ,  26.92,     0.31
Cl La O Si      , 26.588,    0.282
As Cl K O       , 25.541,    0.195
Cl Mo N P       , 27.283,    0.341
Cl O Pb Si      , 25.636,    0.203
Br O Pb Si      , 26.931,    0.311
B Ca F O        , 27.924,    0.394
F I Sb Se       ,  29.73,    0.545
Mg N P S        , 26.752,    0.296
Ba Cl O Ru      , 28.426,    0.436
Nd O Se Si      , 29.504,    0.526
C F K O         , 26.172,    0.248
C F O Rb        , 29.503,    0.526
Al I Te         , 27.915,    0.393
Ga I Te         , 31.577,    0.699
I In Te         , 28.509,    0.443
Cr Li N O       , 27.402,     0.35
Cl N P Zn       , 26.578,    0.282
B Br Cr O       , 27.841,    0.387
F O S Sn        , 26.189,    0.249
Cl I Mo Na      , 29.631,    0.537
As Cl F Se      , 28.249,    0.421
Br K N Th       , 30.649,    0.622
I Nb Se Te      , 30.568,    0.615
Ge N O Zn       , 26.404,    0.267
F O S Sb        , 25.862,    0.222
Ba Cu I O       , 26.523,    0.277
Br K Re S       , 31.528,    0.695
C Co O S        ,  24.49,    0.107
Ba Cl O Si      ,  25.86,    0.222
Al Ca O S       ,  25.05,    0.154
Al O S Sr       , 25.811,    0.218
Cl O Se Zn      , 25.944,    0.229
Fe La O Se      , 26.512,    0.276
As C F N        ,  26.97,    0.314
Na O S Ti       ,  25.78,    0.215
C I O Y         , 26.573,    0.281
I Pt Ta Te      , 31.958,    0.731
As Ba O Zn      , 25.825,    0.219
