Phase fields,     scores,     Norm. scores,
Nd O Se Se      ,  9.328,    0.256,
La O Se Zn      ,  9.333,    0.256,
Br Hg Se Zr     ,  9.341,    0.257,
Na Ni O S       ,  9.342,    0.257,
I O P Pb        ,  9.343,    0.257,
O S Si Yb       ,  9.348,    0.257,
I Nb Nb Se      ,  9.349,    0.257,
C Cl O Sb       ,  9.353,    0.258,
Cu S Se Ta      ,  9.357,    0.258,
As Nb Te Tl     ,   9.36,    0.258,
Cu F Hg S       ,  9.366,    0.259,
As Cl Eu O      ,  9.371,    0.259,
Ag Br N O       ,  9.371,    0.259,
Cl N O Sn       ,  9.373,    0.259,
C Cl O Pd       ,  9.379,     0.26,
Cl Eu O Se      ,   9.38,     0.26,
Cl S Se W       ,  9.381,     0.26,
Cu La O Se      ,  9.382,     0.26,
