phases,target,natom
Al Gd V,0,3
Al Gd W,0,3
Al Gd Y,0,3
Al Gd Zn,0,3
Al Gd Zr,0,3
Al Ge,0,2
Al Ge Hf,0,3
Al Ge Ho,0,3
Al Ge K,0,3
Al Ge La,0,3
Al Ge Li,0,3
Al Ge Lu,0,3
Al Ge Lu Ni,0,4
Al Ge Mg,0,3
Al Ge Mg Y,0,4
Al Ge Mn,0,3
Al Ge Mo,0,3
Al Ge Na,0,3
Al Ge Nb,0,3
Al Ge Nd,0,3
Al Ge Ni,0,3
Al Ge Ni Tb,0,4
Al Ge Ni Y,0,4
Al Ge Pd,0,3
Al Ge Pr,0,3
Al Ge Rb,0,3
Al Ge Re,0,3
Al Ge Sc,0,3
Al Ge Sm,0,3
Al Ge Sr,0,3
Al Ge Tb,0,3
Al Ge Th,0,3
Al Ge Ti,0,3
Al Ge Tm,0,3
Al Ge U,0,3
Al Ge V,0,3
Al Ge W,0,3
Al Ge Y,0,3
Al Ge Yb,0,3
Al Hf,0,2
Al Hf Ho,0,3
Al Hf Ir,0,3
Al Hf Ir V,0,4
Al Hf Mn,0,3
Al Hf Mo,0,3
Al Hf Ni,0,3
Al Hf Os,0,3
Al Hf Pd,0,3
Al Hf Pt,0,3
Al Hf Rh,0,3
Al Hf Rh V,0,4
Al Hf Rh Zr,0,4
Al Hf Ru,0,3
Al Hf Sb,0,3
Al Hf Tb,0,3
Al Hf Ti,0,3
Al Hf W,0,3
Al Hf Zn,0,3
Al Ho,0,2
Al Ho Ir,0,3
Al Ho Mg,0,3
Al Ho Mn,0,3
Al Ho Mo,0,3
Al Ho Nd,0,3
Al Ho Ni,0,3
Al Ho Pd,0,3
Al Ho Pr,0,3
Al Ho Pt,0,3
Al Ho Re,0,3
Al Ho Rh,0,3
Al Ho Ru,0,3
Al Ho Tb,0,3
Al Ho W,0,3
Al Ho Zn,0,3
Al Ho Zr,0,3
Al In Li,0,3
Al In Ni,0,3
Al In Sb,0,3
Al In Sr,0,3
Al In Ti,0,3
Al Ir,0,2
Al Ir Li,0,3
Al Ir Lu,0,3
Al Ir Mn,0,3
Al Ir Nb,0,3
Al Ir Sc,0,3
Al Ir Th,0,3
Al Ir Ti,0,3
Al Ir U,0,3
Al Ir Y,0,3
Al Ir Zr,0,3
Al K Na Sb,0,4
Al K Sb,0,3
Al K Sn,0,3
Al La,0,2
Al La Lu,0,3
Al La Mg,0,3
Al La Mg Ni,0,4
Al La Mn,0,3
Al La Mn Ni,0,4
Al La Mn Sb,0,4
Al La Mn Sn,0,4
Al La Mo,0,3
Al La Mo Ni,0,4
Al La Nd,0,3
Al La Ni,0,3
Al La Ni Ru,0,4
Al La Ni U,0,4
Al La Pd,0,3
Al La Pr,0,3
Al La Pt,0,3
Al La Rh,0,3
Al La Ru,0,3
Al La Sc,0,3
Al La Sn,0,3
Al La Ti,0,3
Al La U,0,3
Al La V,0,3
Al La Y,0,3
Al La Yb,0,3
