phases,leaf,mat2vec
Be Mg Pb,3.694,3.045
Be Bi Mg,3.774,3.054
Al Be K,4.728,3.008
Al Be Ca,4.115,2.871
Al Be Sc,3.686,2.824
Al Be Ti,3.763,2.313
Al Be V,3.639,3.283
Al Be Co,3.618,2.154
Al Be Zn,3.585,2.224
Al Be Ga,3.627,2.746
Al Be Rb,3.719,4.051
Al Be Sr,3.77,2.978
Al Be Y,3.664,2.332
Al Be Zr,3.637,2.404
Al Be Nb,3.752,2.805
Al Be Mo,3.781,2.575
Ag Al Be,3.878,2.607
Al Be Cd,3.59,2.999
Al Be In,3.585,2.609
Al Be Sn,3.57,2.335
Al Be Cs,3.839,3.454
Al Ba Be,3.712,2.768
Al Be Hf,3.828,3.268
Al Be Ta,3.635,2.931
Al Be W,3.874,3.224
Al Be Os,3.795,4.059
Al Be Ir,3.908,3.354
Al Be Pt,3.68,2.873
Al Au Be,3.668,2.663
Al Be Hg,3.683,3.666
Al Be Tl,3.753,3.721
Al Be Pb,3.719,2.633
Al Be Bi,3.798,2.644
Be Ca K,5.106,3.775
Be K Sc,4.745,3.732
Be K Ti,4.81,3.27
Be K V,4.707,4.152
Be Cr K,4.781,3.292
Be K Mn,4.747,3.256
Be Fe K,4.858,2.889
Be Co K,4.69,3.127
Be K Ni,4.658,2.956
Be Cu K,4.73,2.938
Be K Zn,4.662,3.19
Be Ga K,4.696,3.661
Be K Rb,4.773,4.86
Be K Sr,4.815,3.873
Be K Y,4.727,3.287
Be K Zr,4.705,3.352
Be K Nb,4.8,3.715
Be K Mo,4.824,3.506
Ag Be K,4.906,3.536
Be Cd K,4.666,3.892
Be In K,4.662,3.537
Be K Sn,4.65,3.29
Be Cs K,4.873,4.309
Ba Be K,4.767,3.681
Be Hf K,4.864,4.138
Be K Ta,4.704,3.83
Be K W,4.902,4.098
Be K Os,4.836,4.868
Be Ir K,4.931,4.217
Be K Pt,4.74,3.777
Au Be K,4.73,3.586
Be Hg K,4.743,4.504
Be K Tl,4.801,4.555
Be K Pb,4.773,3.559
Be Bi K,4.839,3.569
Be Ca Sc,4.135,3.605
Be Ca Ti,4.206,3.137
Be Ca V,4.092,4.03
Be Ca Cr,4.175,3.159
Be Ca Mn,4.136,3.123
Be Ca Fe,4.26,2.751
Be Ca Co,4.073,2.991
Be Ca Ni,4.038,2.818
Be Ca Cu,4.117,2.8
Be Ca Zn,4.042,3.056
Be Ca Ga,4.08,3.533
Be Ca Rb,4.165,4.746
Be Ca Sr,4.212,3.748
Be Ca Y,4.114,3.154
Be Ca Zr,4.09,3.22
Be Ca Nb,4.196,3.588
Be Ca Mo,4.222,3.376
Ag Be Ca,4.312,3.406
Be Ca Cd,4.047,3.767
Be Ca In,4.042,3.407
Be Ca Sn,4.028,3.157
Be Ca Cs,4.276,4.189
Ba Be Ca,4.159,3.554
Be Ca Hf,4.266,4.016
Be Ca Ta,4.088,3.704
Be Ca W,4.308,3.975
Be Ca Os,4.235,4.754
Be Ca Ir,4.34,4.096
Be Ca Pt,4.129,3.651
Au Be Ca,4.118,3.457
Be Ca Hg,4.132,4.386
Be Ca Tl,4.196,4.438
Be Ca Pb,4.165,3.43
Be Bi Ca,4.238,3.439
Be Sc Ti,3.784,3.092
Be Sc V,3.66,3.989
Be Cr Sc,3.75,3.114
Be Mn Sc,3.708,3.078
Be Fe Sc,3.842,2.703
Be Co Sc,3.639,2.945
