phases,scores,norm
Be Mg Ti,148.054,2.739
Be Mg V,163.173,3.668
Be Cr Mg,148.437,2.763
Be Mg Mn,147.818,2.724
Be Fe Mg,141.477,2.335
Be Co Mg,145.581,2.587
Be Mg Ni,142.63,2.406
Be Mg Zn,146.675,2.654
Be Ga Mg,154.777,3.152
Be Mg Rb,175.225,4.408
Be Mg Sr,158.405,3.375
Be Mg Y,148.346,2.757
Be Mg Zr,149.464,2.826
Be Mg Nb,155.703,3.209
Be Mg Mo,152.12,2.989
Ag Be Mg,152.627,3.02
Be Cd Mg,158.738,3.395
Be In Mg,152.647,3.021
Be Mg Sn,148.4,2.76
Be Cs Mg,165.859,3.833
Ba Be Mg,155.124,3.173
Be Hf Mg,162.935,3.653
Be Mg Ta,157.67,3.33
Be Mg W,162.248,3.611
Be Mg Os,175.356,4.416
Be Ir Mg,164.289,3.736
Be Mg Pt,156.765,3.274
Au Be Mg,153.489,3.073
Be Hg Mg,169.179,4.037
Be Mg Tl,170.046,4.09
Be Mg Pb,153.031,3.045
Be Bi Mg,153.189,3.054
Al Be K,152.426,3.008
Al Be Ca,150.196,2.871
Al Be Sc,149.437,2.824
Al Be Ti,141.123,2.313
Al Be V,156.911,3.283
Al Be Co,138.526,2.154
Al Be Zn,139.675,2.224
Al Be Ga,148.161,2.746
Al Be Rb,169.409,4.051
Al Be Sr,151.946,2.978
Al Be Y,141.429,2.332
Al Be Zr,142.601,2.404
Al Be Nb,149.127,2.805
Al Be Mo,145.383,2.575
Ag Al Be,145.913,2.607
Al Be Cd,152.294,2.999
Al Be In,145.934,2.609
Al Be Sn,141.485,2.335
Al Be Cs,159.702,3.454
Al Ba Be,148.523,2.768
Al Be Hf,156.663,3.268
Al Be Ta,151.18,2.931
Al Be W,155.949,3.224
Al Be Os,169.545,4.059
Al Be Ir,158.071,3.354
Al Be Pt,150.236,2.873
Al Au Be,146.815,2.663
Al Be Hg,163.147,3.666
Al Be Tl,164.047,3.721
Al Be Pb,146.335,2.633
Al Be Bi,146.5,2.644
Be Ca K,164.918,3.775
Be K Sc,164.228,3.732
Be K Ti,156.7,3.27
Be K V,171.056,4.152
Be Cr K,157.062,3.292
Be K Mn,156.477,3.256
Be Fe K,150.501,2.889
Be Co K,154.366,3.127
Be K Ni,151.585,2.956
Be Cu K,151.299,2.938
Be K Zn,155.398,3.19
Be Ga K,163.067,3.661
Be K Rb,182.589,4.86
Be K Sr,166.514,3.873
Be K Y,156.976,3.287
Be K Zr,158.032,3.352
Be K Nb,163.945,3.715
Be K Mo,160.547,3.506
Ag Be K,161.027,3.536
Be Cd K,166.831,3.892
Be In K,161.046,3.537
Be K Sn,157.026,3.29
Be Cs K,173.62,4.309
Ba Be K,163.396,3.681
Be Hf K,170.829,4.138
Be K Ta,165.815,3.83
Be K W,170.175,4.098
Be K Os,182.715,4.868
Be Ir K,172.121,4.217
Be K Pt,164.954,3.777
Au Be K,161.845,3.586
Be Hg K,176.794,4.504
Be K Tl,177.625,4.555
Be K Pb,161.41,3.559
Be Bi K,161.56,3.569
Be Ca Sc,162.16,3.605
Be Ca Ti,154.532,3.137
Be Ca V,169.072,4.03
Be Ca Cr,154.899,3.159
Be Ca Mn,154.305,3.123
Be Ca Fe,148.242,2.751
Be Ca Co,152.164,2.991
Be Ca Ni,149.343,2.818
Be Ca Cu,149.052,2.8
Be Ca Zn,153.211,3.056
Be Ca Ga,160.984,3.533
Be Ca Rb,180.731,4.746
Be Ca Sr,164.475,3.748
Be Ca Y,154.811,3.154
Be Ca Zr,155.883,3.22
Be Ca Nb,161.874,3.588
Be Ca Mo,158.431,3.376
Ag Be Ca,158.918,3.406
Be Ca Cd,164.796,3.767
Be Ca In,158.937,3.407
Be Ca Sn,154.863,3.157
Be Ca Cs,171.666,4.189
Ba Be Ca,161.317,3.554
Be Ca Hf,168.843,4.016
Be Ca Ta,163.767,3.704
Be Ca W,168.18,3.975
Be Ca Os,180.859,4.754
Be Ca Ir,170.149,4.096
Be Ca Pt,162.896,3.651
Au Be Ca,159.747,3.457
Be Ca Hg,174.875,4.386
Be Ca Tl,175.715,4.438
Be Ca Pb,159.306,3.43
Be Bi Ca,159.458,3.439
Be Sc Ti,153.795,3.092
Be Sc V,168.399,3.989
Be Cr Sc,154.163,3.114
Be Mn Sc,153.567,3.078
Be Fe Sc,147.473,2.703
Be Co Sc,151.415,2.945
Be Ni Sc,148.58,2.771
