phases,leaf,mat2vec,if_pareto,pareto_front,elements
Fe K Zn,2.738,1.62,-,11,Fe
Co K Ni,2.473,1.622,-,13,Co
Ag Mo Ni,1.249,1.622,-,18,Ag
In Mo Ni,0.613,1.624,-,11,In
Cu Mo Pb,1.099,1.631,-,20,Cu
Ag Y Zn,1.026,1.631,-,13,Ag
Cu Fe Hf,1.391,1.632,-,22,Cu
Ca Ni Ti,1.663,1.634,-,17,Ca
Ag Sn Zn,0.826,1.635,-,4,Ag
Al Nb Y,0.919,1.639,-,26,Al
Cr In Zn,0.492,1.639,-,1,Cr
Ca Cr Cu,1.746,1.64,-,22,Ca
Pb Ti Zn,0.893,1.64,-,27,Pb
Cu Sr Zn,0.791,1.642,-,28,Cu
Fe Mg Nb,1.194,1.642,-,10,Fe
Au Fe In,0.909,1.645,+,28,Au
Fe Ta Y,1.007,1.647,-,23,Fe
Bi Fe Pb,1.428,1.651,-,27,Bi
Cr Fe Ta,1.141,1.653,-,29,Cr
Cu Ni W,1.013,1.657,-,30,Cu
Cu Sc Zr,0.713,1.659,-,13,Cu
Ca Cr Ni,1.606,1.66,-,18,Ca
Ag In Ni,0.848,1.66,-,23,Ag
Co Mg Mo,0.828,1.66,-,23,Co
Al Sc Y,0.77,1.661,-,12,Al
Ni Sr Zn,0.586,1.663,-,20,Ni
Cr Ni Pt,0.714,1.663,-,18,Cr
Mg Y Zr,0.593,1.663,-,28,Mg
Pb Sn Zn,0.425,1.664,-,27,Pb
Fe Mg Sc,1.061,1.664,-,23,Fe
Al Sc Sn,0.545,1.665,-,13,Al
Mg Sn Zr,0.346,1.666,-,21,Mg
Cd Cu Zn,0.335,1.667,-,16,Cd
Cu Mn Ta,0.714,1.667,-,13,Cu
Cr Pb Zn,0.816,1.667,-,7,Cr
Bi Y Zn,0.85,1.672,-,12,Bi
Al Cd Co,0.42,1.672,-,6,Al
Au Ti Zn,0.777,1.673,-,5,Au
Au Fe Pb,1.183,1.673,-,22,Au
Mo Zn Zr,0.748,1.673,-,26,Mo
Al Ba Zr,0.77,1.675,-,19,Al
Bi Sn Zn,0.634,1.675,-,23,Bi
Ba Mg Ni,0.575,1.677,-,29,Ba
Cu K Zn,2.542,1.677,-,7,Cu
Bi Cr Zn,0.992,1.678,-,24,Bi
Ni Sc Zr,0.5,1.679,-,23,Ni
Bi Cu In,0.856,1.68,-,24,Bi
Fe Sr Ti,1.456,1.681,-,17,Fe
Al Co K,2.581,1.682,-,13,Al
Au Bi Fe,1.335,1.684,-,28,Au
Al In Mo,0.811,1.684,-,11,Al
Au Mo Ni,0.807,1.685,-,30,Au
Mo Ti Y,1.181,1.69,-,25,Mo
Ag Mn Ti,1.413,1.69,-,10,Ag
Al Ca Ti,1.798,1.694,-,25,Al
Ag Co Mg,1.043,1.696,-,12,Ag
Au Co Zr,0.549,1.696,-,2,Au
K Ni Zn,2.43,1.697,-,8,K
Ba Co Mn,0.78,1.7,-,13,Ba
Fe Sr Y,1.274,1.701,-,4,Fe
Cu Ta Y,0.657,1.703,-,6,Cu
